trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
3315673,19:15:00,19:15:00,1,0,1
3315673,19:17:00,19:17:00,2,1,1
3315673,19:19:00,19:19:00,3,2,1
3315673,19:22:00,19:22:00,4,3,1
3315673,,,5,4,1
3315673,19:24:00,19:24:00,6,5,1
3315673,19:27:00,19:27:00,7,6,1
3315673,19:28:00,19:28:00,8,7,1
3315673,19:30:00,19:30:00,9,8,1
3315673,19:33:00,19:33:00,10,9,1
3315661,06:32:00,06:32:00,5,0,1
3315661,06:37:00,06:37:00,6,1,1
3315661,06:40:00,06:40:00,7,2,1
3315661,06:42:00,06:42:00,8,3,1
3315661,06:45:00,06:45:00,9,4,1
3315661,06:47:00,06:47:00,10,5,1
3315662,07:40:00,07:40:00,1,0,1
3315662,,,2,1,1
3315662,07:44:00,07:44:00,3,2,1
3315662,07:46:00,07:46:00,7,3,1
3315662,07:48:00,07:48:00,8,4,1
3315662,07:51:00,07:51:00,9,5,1
3315662,07:53:00,07:53:00,10,6,1
3315663,15:40:00,15:40:00,1,0,1
3315663,15:42:00,15:42:00,2,1,1
3315663,15:44:00,15:44:00,3,2,1
3315663,15:46:00,15:46:00,7,3,1
3315663,15:48:00,15:48:00,8,4,1
3315663,15:51:00,15:51:00,9,5,1
3315663,15:53:00,15:53:00,10,6,1
3315664,08:30:00,08:30:00,1,0,1
3315664,08:34:00,08:34:00,3,1,1
3315664,08:37:00,08:37:00,6,2,1
3315664,08:42:00,08:42:00,8,3,1
3315664,08:45:00,08:45:00,9,4,1
3315664,08:47:00,08:47:00,10,5,1
3315665,09:40:00,09:40:00,1,0,1
3315665,09:44:00,09:44:00,3,1,1
3315665,09:46:00,09:46:00,7,2,1
3315665,09:48:00,09:48:00,8,3,1
3315665,09:51:00,09:51:00,9,4,1
3315665,09:53:00,09:53:00,10,5,1
3315667,11:40:00,11:40:00,1,0,1
3315667,11:44:00,11:44:00,3,1,1
3315667,11:46:00,11:46:00,7,2,1
3315667,11:48:00,11:48:00,8,3,1
3315667,11:51:00,11:51:00,9,4,1
3315667,11:53:00,11:53:00,10,5,1
3315666,13:30:00,13:30:00,1,0,1
3315666,13:34:00,13:34:00,3,1,1
3315666,13:36:00,13:36:00,7,2,1
3315666,13:38:00,13:38:00,8,3,1
3315666,13:41:00,13:41:00,9,4,1
3315666,13:43:00,13:43:00,10,5,1
3315668,10:30:00,10:30:00,1,0,1
3315668,10:31:00,10:31:00,2,1,1
3315668,10:34:00,10:34:00,3,2,1
3315668,10:36:00,10:36:00,8,3,1
3315668,10:39:00,10:39:00,9,4,1
3315668,10:41:00,10:41:00,10,5,1
3315669,14:40:00,14:40:00,1,0,1
3315669,14:42:00,14:42:00,2,1,1
3315669,14:44:00,14:44:00,3,2,1
3315669,14:46:00,14:46:00,8,3,1
3315669,14:49:00,14:49:00,9,4,1
3315669,14:51:00,14:51:00,10,5,1
3315670,12:30:00,12:30:00,1,0,1
3315670,12:34:00,12:34:00,3,1,1
3315670,12:36:00,12:36:00,8,2,1
3315670,12:39:00,12:39:00,9,3,1
3315670,12:41:00,12:41:00,10,4,1
3315671,16:45:00,16:45:00,1,0,1
3315671,16:49:00,16:49:00,3,1,1
3315671,16:52:00,16:52:00,4,2,1
3315671,,,5,3,1
3315671,16:53:00,16:53:00,6,4,1
3315671,17:00:00,17:00:00,8,5,1
3315671,17:02:00,17:02:00,9,6,1
3315671,17:05:00,17:05:00,10,7,1
3315672,18:00:00,18:00:00,1,0,1
3315672,18:04:00,18:04:00,3,1,1
3315672,18:07:00,18:07:00,4,2,1
3315672,,,5,3,1
3315672,18:09:00,18:09:00,6,4,1
3315672,18:12:00,18:12:00,7,5,1
3315672,18:13:00,18:13:00,8,6,1
3315672,18:15:00,18:15:00,9,7,1
3315672,18:18:00,18:18:00,10,8,1
3315674,06:47:00,06:47:00,10,0,1
3315674,06:49:00,06:49:00,11,1,1
3315674,06:53:00,06:53:00,12,2,1
3315674,06:54:00,06:54:00,13,3,1
3315674,06:58:00,06:58:00,14,4,1
3315674,07:03:00,07:03:00,15,5,1
3315674,,,16,6,1
3315674,07:05:00,07:05:00,17,7,1
3315674,07:07:00,07:07:00,18,8,1
3315674,07:08:00,07:08:00,19,9,1
3315674,07:10:00,07:10:00,2,10,1
3315674,07:12:00,07:12:00,1,11,1
3315675,07:53:00,07:53:00,10,0,1
3315675,07:55:00,07:55:00,11,1,1
3315675,07:59:00,07:59:00,12,2,1
3315675,08:00:00,08:00:00,13,3,1
3315675,08:04:00,08:04:00,14,4,1
3315675,08:09:00,08:09:00,15,5,1
3315675,,,16,6,1
3315675,08:11:00,08:11:00,17,7,1
3315675,08:13:00,08:13:00,18,8,1
3315675,08:14:00,08:14:00,19,9,1
3315675,08:16:00,08:16:00,2,10,1
3315675,08:18:00,08:18:00,1,11,1
3315676,08:48:00,08:48:00,10,0,1
3315676,08:50:00,08:50:00,11,1,1
3315676,08:54:00,08:54:00,12,2,1
3315676,08:55:00,08:55:00,13,3,1
3315676,08:59:00,08:59:00,14,4,1
3315676,09:04:00,09:04:00,15,5,1
3315676,,,16,6,1
3315676,09:06:00,09:06:00,17,7,1
3315676,09:08:00,09:08:00,18,8,1
3315676,09:09:00,09:09:00,19,9,1
3315676,09:11:00,09:11:00,2,10,1
3315676,09:13:00,09:13:00,1,11,1
3315677,09:53:00,09:53:00,10,0,1
3315677,09:55:00,09:55:00,11,1,1
3315677,09:59:00,09:59:00,12,2,1
3315677,10:00:00,10:00:00,13,3,1
3315677,10:04:00,10:04:00,14,4,1
3315677,10:09:00,10:09:00,15,5,1
3315677,10:12:00,10:12:00,16,6,1
3315677,10:15:00,10:15:00,17,7,1
3315677,10:17:00,10:17:00,18,8,1
3315677,10:18:00,10:18:00,19,9,1
3315677,10:20:00,10:20:00,2,10,1
3315677,10:22:00,10:22:00,1,11,1
3315678,10:41:00,10:41:00,10,0,1
3315678,10:43:00,10:43:00,11,1,1
3315678,10:47:00,10:47:00,12,2,1
3315678,10:48:00,10:48:00,13,3,1
