trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
32_T16,21:30:00,21:30:00,884,0,1
32_T16,21:34:00,21:34:00,855,1,1
32_T16,21:35:00,21:35:00,854,2,1
32_T16,21:36:00,21:36:00,610,3,1
32_T16,21:37:00,21:37:00,612,4,1
32_T16,21:38:00,21:38:00,614,5,1
32_T16,21:39:00,21:39:00,611,6,1
32_T16,21:39:20,21:39:20,613,7,1
32_T16,21:39:40,21:39:40,864,8,1
32_T16,21:40:00,21:40:00,863,9,1
32_T16,21:41:00,21:41:00,866,10,1
32_T16,21:41:30,21:41:30,865,11,1
32_T16,21:43:00,21:43:00,862,12,1
32_T16,21:44:00,21:44:00,849,13,1
32_T16,21:45:00,21:45:00,850,14,1
32_T16,21:46:00,21:46:00,800,15,1
32_T16,21:46:30,21:46:30,801,16,1
32_T16,21:47:00,21:47:00,566,17,1
32_T16,21:47:30,21:47:30,561,18,1
32_T16,21:49:00,21:49:00,821,19,1
32_T16,21:49:30,21:49:30,597,20,1
32_T16,21:50:00,21:50:00,658,21,1
32_T16,21:52:00,21:52:00,818,22,1
32_T16,21:53:00,21:53:00,809,23,1
32_T16,21:54:00,21:54:00,931,24,1
32_T16,22:02:00,22:02:00,895,25,1
32_T16,22:04:00,22:04:00,843,26,1
32_T16,22:05:00,22:05:00,842,27,1
32_T16,22:06:00,22:06:00,564,28,1
32_T16,22:07:00,22:07:00,857,29,1
32_T16,22:10:00,22:10:00,838,30,1
32_T16,22:11:00,22:11:00,839,31,1
32_T16,22:14:00,22:14:00,831,32,1
32_T16,22:15:00,22:15:00,830,33,1
32_T16,22:17:00,22:17:00,931,34,1
32_T15,20:30:00,20:30:00,884,0,1
32_T15,20:34:00,20:34:00,855,1,1
32_T15,20:35:00,20:35:00,854,2,1
32_T15,20:36:00,20:36:00,610,3,1
32_T15,20:37:00,20:37:00,612,4,1
32_T15,20:38:00,20:38:00,614,5,1
32_T15,20:39:00,20:39:00,611,6,1
32_T15,20:39:20,20:39:20,613,7,1
32_T15,20:39:40,20:39:40,864,8,1
32_T15,20:40:00,20:40:00,863,9,1
32_T15,20:41:00,20:41:00,866,10,1
32_T15,20:41:30,20:41:30,865,11,1
32_T15,20:43:00,20:43:00,862,12,1
32_T15,20:44:00,20:44:00,849,13,1
32_T15,20:45:00,20:45:00,850,14,1
32_T15,20:46:00,20:46:00,800,15,1
32_T15,20:46:30,20:46:30,801,16,1
32_T15,20:47:00,20:47:00,566,17,1
32_T15,20:47:30,20:47:30,561,18,1
32_T15,20:49:00,20:49:00,821,19,1
32_T15,20:49:30,20:49:30,597,20,1
32_T15,20:50:00,20:50:00,658,21,1
32_T15,20:52:00,20:52:00,818,22,1
32_T15,20:53:00,20:53:00,809,23,1
32_T15,20:54:00,20:54:00,931,24,1
32_T15,21:02:00,21:02:00,895,25,1
32_T15,21:04:00,21:04:00,843,26,1
32_T15,21:05:00,21:05:00,842,27,1
32_T15,21:06:00,21:06:00,564,28,1
32_T15,21:07:00,21:07:00,857,29,1
32_T15,21:10:00,21:10:00,838,30,1
32_T15,21:11:00,21:11:00,839,31,1
32_T15,21:14:00,21:14:00,831,32,1
32_T15,21:15:00,21:15:00,830,33,1
32_T15,21:17:00,21:17:00,931,34,1
32_T14,19:30:00,19:30:00,884,0,1
32_T14,19:34:00,19:34:00,855,1,1
32_T14,19:35:00,19:35:00,854,2,1
32_T14,19:36:00,19:36:00,610,3,1
32_T14,19:37:00,19:37:00,612,4,1
32_T14,19:38:00,19:38:00,614,5,1
32_T14,19:39:00,19:39:00,611,6,1
32_T14,19:39:20,19:39:20,613,7,1
32_T14,19:39:40,19:39:40,864,8,1
32_T14,19:40:00,19:40:00,863,9,1
32_T14,19:41:00,19:41:00,866,10,1
32_T14,19:41:30,19:41:30,865,11,1
32_T14,19:43:00,19:43:00,862,12,1
32_T14,19:44:00,19:44:00,849,13,1
32_T14,19:45:00,19:45:00,850,14,1
32_T14,19:46:00,19:46:00,800,15,1
32_T14,19:46:30,19:46:30,801,16,1
32_T14,19:47:00,19:47:00,566,17,1
32_T14,19:47:30,19:47:30,561,18,1
32_T14,19:49:00,19:49:00,821,19,1
32_T14,19:49:30,19:49:30,597,20,1
32_T14,19:50:00,19:50:00,658,21,1
32_T14,19:52:00,19:52:00,818,22,1
32_T14,19:53:00,19:53:00,809,23,1
32_T14,19:54:00,19:54:00,931,24,1
32_T14,20:02:00,20:02:00,895,25,1
32_T14,20:04:00,20:04:00,843,26,1
32_T14,20:05:00,20:05:00,842,27,1
32_T14,20:06:00,20:06:00,564,28,1
32_T14,20:07:00,20:07:00,857,29,1
32_T14,20:10:00,20:10:00,838,30,1
32_T14,20:11:00,20:11:00,839,31,1
32_T14,20:14:00,20:14:00,831,32,1
32_T14,20:15:00,20:15:00,830,33,1
32_T14,20:17:00,20:17:00,931,34,1
32_T13,18:30:00,18:30:00,884,0,1
32_T13,18:34:00,18:34:00,855,1,1
32_T13,18:35:00,18:35:00,854,2,1
32_T13,18:36:00,18:36:00,610,3,1
32_T13,18:37:00,18:37:00,612,4,1
32_T13,18:38:00,18:38:00,614,5,1
32_T13,18:39:00,18:39:00,611,6,1
32_T13,18:39:20,18:39:20,613,7,1
32_T13,18:39:40,18:39:40,864,8,1
32_T13,18:40:00,18:40:00,863,9,1
32_T13,18:41:00,18:41:00,866,10,1
32_T13,18:41:30,18:41:30,865,11,1
32_T13,18:43:00,18:43:00,862,12,1
32_T13,18:44:00,18:44:00,849,13,1
32_T13,18:45:00,18:45:00,850,14,1
32_T13,18:46:00,18:46:00,800,15,1
32_T13,18:46:30,18:46:30,801,16,1
32_T13,18:47:00,18:47:00,566,17,1
32_T13,18:47:30,18:47:30,561,18,1
32_T13,18:49:00,18:49:00,821,19,1
32_T13,18:49:30,18:49:30,597,20,1
32_T13,18:50:00,18:50:00,658,21,1
32_T13,18:52:00,18:52:00,818,22,1
32_T13,18:53:00,18:53:00,809,23,1
32_T13,18:54:00,18:54:00,931,24,1
32_T13,19:02:00,19:02:00,895,25,1
32_T13,19:04:00,19:04:00,843,26,1
32_T13,19:05:00,19:05:00,842,27,1
32_T13,19:06:00,19:06:00,564,28,1
32_T13,19:07:00,19:07:00,857,29,1
32_T13,19:10:00,19:10:00,838,30,1
32_T13,19:11:00,19:11:00,839,31,1
32_T13,19:14:00,19:14:00,831,32,1
32_T13,19:15:00,19:15:00,830,33,1
32_T13,19:17:00,19:17:00,931,34,1
32_T12,17:30:00,17:30:00,884,0,1
32_T12,17:34:00,17:34:00,855,1,1
32_T12,17:35:00,17:35:00,854,2,1
32_T12,17:36:00,17:36:00,610,3,1
32_T12,17:37:00,17:37:00,612,4,1
32_T12,17:38:00,17:38:00,614,5,1
32_T12,17:39:00,17:39:00,611,6,1
32_T12,17:39:20,17:39:20,613,7,1
32_T12,17:39:40,17:39:40,864,8,1
32_T12,17:40:00,17:40:00,863,9,1
32_T12,17:41:00,17:41:00,866,10,1
32_T12,17:41:30,17:41:30,865,11,1
32_T12,17:43:00,17:43:00,862,12,1
32_T12,17:44:00,17:44:00,849,13,1
32_T12,17:45:00,17:45:00,850,14,1
32_T12,17:46:00,17:46:00,800,15,1
32_T12,17:46:30,17:46:30,801,16,1
32_T12,17:47:00,17:47:00,566,17,1
32_T12,17:47:30,17:47:30,561,18,1
32_T12,17:49:00,17:49:00,821,19,1
32_T12,17:49:30,17:49:30,597,20,1
32_T12,17:50:00,17:50:00,658,21,1
32_T12,17:52:00,17:52:00,818,22,1
32_T12,17:53:00,17:53:00,809,23,1
32_T12,17:54:00,17:54:00,931,24,1
32_T12,18:02:00,18:02:00,895,25,1
32_T12,18:04:00,18:04:00,843,26,1
32_T12,18:05:00,18:05:00,842,27,1
32_T12,18:06:00,18:06:00,564,28,1
